"name","parent","type","size"
".idea","Lesson_08.1","directory",11122
"dir_01","Lesson_08.1","directory",1253
"dir_02","Lesson_08.1","directory",0
"modules","Lesson_08.1","directory",4324
"Task_01.py","Lesson_08.1","file",1255
".gitignore",".idea","file",184
"inspectionProfiles",".idea","directory",174
"Lesson_08.1.iml",".idea","file",362
"misc.xml",".idea","file",1399
"modules.xml",".idea","file",281
"vcs.xml",".idea","file",191
"workspace.xml",".idea","file",4435
"profiles_settings.xml","inspectionProfiles","file",174
"dir_01_01","dir_01","directory",0
"some_text_01.txt","dir_01","file",1253
"some_music.mp3","dir_01_01","file",0
"some_pict.jpg","dir_02","file",0
"files_handling.py","modules","file",2843
"result.json","modules","file",1481
