"name","parent","type","size"
".idea","Lesson_08.1","directory",11531
"dir_01","Lesson_08.1","directory",1253
"dir_02","Lesson_08.1","directory",0
"modules","Lesson_08.1","directory",11381
"Task_01.py","Lesson_08.1","file",1464
".gitignore",".idea","file",184
"csv-editor.xml",".idea","file",409
"inspectionProfiles",".idea","directory",174
"Lesson_08.1.iml",".idea","file",362
"misc.xml",".idea","file",1399
"modules.xml",".idea","file",281
"vcs.xml",".idea","file",191
"workspace.xml",".idea","file",4435
"profiles_settings.xml","inspectionProfiles","file",174
"dir_01_01","dir_01","directory",0
"some_text_01.txt","dir_01","file",1253
"some_music.mp3","dir_01_01","file",0
"some_pict.jpg","dir_02","file",0
"files_handling.py","modules","file",3896
"result.csv","modules","file",881
"result.json","modules","file",1708
"result.pickle","modules","file",852
"__pycache__","modules","directory",4044
"files_handling.cpython-310.pyc","__pycache__","file",4044
