Path,Type,Size
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\pairs_num_name.json,File,443
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\pairs_num_name.txt,File,335
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\result.csv,File,984
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\result.json,File,1889
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\result.pickle,File,949
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\results.csv,File,2540
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\results.json,File,4896
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\results.pickle,File,2482
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\Task_01.py,File,1464
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\Task_02.py,File,1062
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\task_11.py,File,5877
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\task_12.py,File,209
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\.idea,Directory,8195
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\dir_01,Directory,1229
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\dir_02,Directory,0
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\modules,Directory,3896
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\.idea\.gitignore,File,184
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\.idea\csv-editor.xml,File,402
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\.idea\easycode.ignore,File,111
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\.idea\Lesson_08.1.iml,File,291
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\.idea\misc.xml,File,1371
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\.idea\modules.xml,File,281
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\.idea\vcs.xml,File,191
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\.idea\workspace.xml,File,4786
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\.idea\inspectionProfiles,Directory,578
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\.idea\inspectionProfiles\profiles_settings.xml,File,174
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\.idea\inspectionProfiles\Project_Default.xml,File,404
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\dir_01\some_text_01.txt,File,1229
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\dir_01\dir_01_01,Directory,0
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\dir_01\dir_01_01\some_music.mp3,File,0
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\dir_02\some_pict.jpg,File,0
D:\GeekBrains\HomeWork\Dive into python\Lesson_08.1\modules\files_handling.py,File,3896
